Nom de l'entreprise,Domaine de compétences,Filière,Stages Proposés,Année de création,Nombre d'employés,Chiffre d'Affaires
Armée de Terre,100 spécialités,Toutes filières,,,130000,
Bordeaux Métropole,,Toutes filières,,,,
Marine Nationale,,Toutes filières,,,,
ACC,"R&D, Production de batteries, Industrialisation et Conception Mécanique",Toutes filières,,2020,1200,4 M€ (2021)
Advans Group,"Numérique, firmware, développement logiciel, calcul et simulation",Toutes filières,,2000,1 100,9 M € (2022)
Akkodis,"IT, smart industry, conseil, ",Toutes filières,"Ingénieur logiciel - Ingénieur logiciel embarqué - Ingénieur électronique - Ingénieur système, gestion de configuration - Ingénieur essais - Chef de projet - Ingénieur mécanique, matériaux et composites",1967,50 000,4 Milliards € (2023)
Alten Sud Ouest,"Aéronautique, spatial, défense et sécurité, automobile, naval, télécommunications, assurances, santé / sciences de la vie, banque / finances, service et conseil, énergies et environnement",Toutes filières,Ingénieur Mécanique du Vol - Ingénieur Conception Electronique - Ingénieur Système Electronique - Chef de Projet MOA - Dev Full Stack java Angular - Electronicien - Dev Embarqué Intermédiaire - Ingénieur GMAO - Ingénieur Méthodes - Ingénieur Systèmes - Ingénieur Systèmes Electroniques - Ingénieur Dev Informatique et Systèmes Embarqués - Ingénieur PMO - Ingénieur Qualité Aéronautique (préventifs et correctifs complexes) - Ingénieur Quality Supply Chain - Ingénieur Qualité Fournisseurs,1988,54 100,4 Milliards € (2022)
Ariane Group,Spatial,Toutes filières,,2009,8 000,"2,4 Milliards € (2022)"
Astek,"Conseil en technologies et en transformation digitale, data, télécommunications et infrastructures",Toutes filières,,1988,7 200,500 M € (2022)
CEA,"Energies Bas Carbone, numérique, technologies pour la médecine du futur, défense et sécurité",Toutes filières,,1945,21 148,"5,6 Milliards € (2022)"
CNES,"Spatial, sciences de la terre, télécommunications, sécurité et défense",Toutes filières,,1961,2 350,257 M € (2015)
Dassault,"Aéronautique, développement de logiciels",Toutes filières,Data Engineer - Industrialisation des Déploiements de Systèmes d'Information du Soutien Militaire - Développement Informatique d'Outils Collaboratifs de Certification,1929,12 770,7 Milliards € (2022)
MBDA,"Conception de missiles et systèmes de missiles, simulation et modélisation, aérodynamique et propulsion, logiciel, ingénierie électronique, ",Toutes filières,"Ingénierie Système : études d'architecture d'une préparation de mission innovante, Logiciel : étude du langage C++ dans l'embarqué temps-réel critique, Ingénierie Système : Etudes fonctionnelles de construction de trajectoires, Ingénierie Système : étude comportementale d'un service de combat collaboratif, Electronique : Évaluation d'une méthodologie de programmation de switch sur cible FPGA,  Informatique industrielle : Evaluation d'une interface multi-protocole compacte F, Electronique: conception d'une nouvelle solution pour la maîtrise de l'intégrité du signal, Essais : Cible infra-rouge automatisée, Logiciel : Développement d'une application avec base de données, Electronique : qualification de performance radio fréquence sur PCB vieilli, Logiciel : Etude d'un middleware en environnement embarqué contraint et distribué, Systèmes embarqués : Développement d'outils d'acquisition de trajectoires GPS",2001,14 000,"4,2 Milliards € (2022)"
SNCF Optim'services,"Voyage et logistique de marchandises, ferroviaire",Toutes filières,Consulter leur site Internet,1938,280 000,"41,4 Milliards € (2022)"
ST Microelectronics,"Fournisseur de technologies, traitement de consommation, connectivité, alimentation et énergie",Toutes filières,Ingénieur Design Analogue ou Digital - Ingénieur Application - Ingénieur Vérification - Ingénieur Validation - Ingénieur Dev Logiciels - Ingénieur Automation - Ingénieur Process Engineering - Ingénieur R&D Process Dev - Ingénieur Device Engineering - Ingénieur Qualité - Ingénieur IT - Ingénieur R&D Microélectronique - Ingénieur Produit - Ingénieur de Test Radiatif,1987,50 000,16 Milliards € (2022)
Thalès,"High Tech, Deep Tech, défense / sécurité, aérospatial, transport",Toutes filières,Ingénieur Conception Systèmes - Ingénieur HSE Produit - Ingénieur Logistique de Distribution - Inférence IA sur FPGA - Dev Logiciel Analyse des temps de démarrage du système,1893,80 000,245 M€ (2022)
3D Plus,Spatial,Elec,,1995,270,70 M€
AECE,"Aéronautique, Défense",Elec,"Automatisme, Informatique Industrielle, Développement Software embarqué, Conception électronique de puissance, Conception mécanique, Méthodes",1981,220,30 M€
Airbus Operations ,Développement et Maintenance de Logiciels,Elec,,1998,135 000,70 Milliards € (2022)
APSIDE,"Industrie, Aéronautique, Défense, Informatique, Bancaire",Elec,,1976,3000,220 M€
Artelia,"Ingénierie de la mobilité de l'eau, de l'energie, du bâtiment et de l'industrie",Elec,"Ingénieur/Ingénieure conduite de projet MOEx, Ingénieur / Ingénieure suivi de travaux - Projets Résidentiels et Mixtes, tage de Césure - Ingénieur / Ingénieure - Projets de Façades Légères & Verrières, Outils Conception Environnementale,Ingénieur / Ingénieure d'études CVC, Stage Innovation et Ouvrages d’art F/H, Stage - Chef/Cheffe de projet AMO Programmation, Stage Ingénieur/ Ingénieure Génie Industriel",2010,7300,833 M€
Bee Engineering,"Infrastructures, Industrie de l'énergie et des procédés, des transports",Elec,Pas de Stage,2010,950,67 M€
BeTomorrow,"Cloud, mobile, web, architecture logicielle, inteliigence artificielle, réalité augmentée, design et loT, data engineering",Elec,Dév mobile et Front-End - Dev Back-End - Dev Data BI - Dev Fullstack - IA/LLM,2002,80,7 M€ (2022)
CELAD,"Banque, Assurance, Transport, Santé, Aéronautique, Spatial, Commerce, Distribution, Télécommunication, Energie, Administration",Elec,Pas de Stage,1990,1500,125 M€
Dassault,,Elec,Ingénieur Simulation de Réseau Electrique de Bord - Ingénieur Modélisation du Comportement de Réseaux Electriques en Cas de Défaut - Ingénieur Intégration d'une Batterie Lithium dans une Architecture Electrique Falcon,1929,12 770,7 Milliards € (2022)
Evbox,"Fabrication d'équipement électrique,  Energies renouvelables",Elec,"Ingénieur d'essais, ingénieur embarqué",2007,700,18 M€ (2022)
Exail,"Robotique, Aéronautique, Spatial, Photonique, Maritime, Navigation",Elec,,2022,1500,250 M€
